stop_id,tract_id
765,1400000US17031081600
766,1400000US17031081700
769,1400000US17031081800
771,1400000US17031081800
772,1400000US17031842300
776,1400000US17031243500
778,1400000US17031243500
780,1400000US17031243500
781,1400000US17031243400
782,1400000US17031243400
783,1400000US17031243300
784,1400000US17031243300
785,1400000US17031243200
786,1400000US17031243200
787,1400000US17031243100
789,1400000US17031243000
790,1400000US17031243000
791,1400000US17031242900
794,1400000US17031242800
796,1400000US17031242800
797,1400000US17031242800
798,1400000US17031836700
800,1400000US17031836600
802,1400000US17031836600
805,1400000US17031231100
808,1400000US17031231200
809,1400000US17031230700
811,1400000US17031230700
812,1400000US17031230700
813,1400000US17031230600
814,1400000US17031230600
815,1400000US17031230600
817,1400000US17031230500
818,1400000US17031230500
819,1400000US17031230500
820,1400000US17031831300
821,1400000US17031831300
822,1400000US17031191100
823,1400000US17031191100
826,1400000US17031191200
828,1400000US17031191200
829,1400000US17031191302
830,1400000US17031191302
832,1400000US17031191302
833,1400000US17031191302
834,1400000US17031191301
836,1400000US17031191301
837,1400000US17031191301
838,1400000US17031831500
840,1400000US17031831600
842,1400000US17031831600
844,1400000US17031831600
845,1400000US17031250500
846,1400000US17031812200
847,1400000US17031812200
848,1400000US17031812200
849,1400000US17031812200
850,1400000US17031812200
851,1400000US17031812200
852,1400000US17031812200
854,1400000US17031812200
856,1400000US17031812100
857,1400000US17031812100
860,1400000US17031250600
861,1400000US17031250600
863,1400000US17031250700
865,1400000US17031250700
867,1400000US17031250800
868,1400000US17031250800
870,1400000US17031250800
871,1400000US17031831300
874,1400000US17031230600
875,1400000US17031230600
879,1400000US17031230700
880,1400000US17031230700
881,1400000US17031230700
882,1400000US17031230700
883,1400000US17031230800
885,1400000US17031230900
887,1400000US17031240900
888,1400000US17031240900
889,1400000US17031240900
890,1400000US17031240900
891,1400000US17031241000
893,1400000US17031241100
894,1400000US17031241100
895,1400000US17031241200
896,1400000US17031241200
897,1400000US17031241300
898,1400000US17031241400
899,1400000US17031241500
900,1400000US17031241500
901,1400000US17031241500
902,1400000US17031241500
903,1400000US17031241600
910,1400000US17031842200
913,1400000US17031842200
915,1400000US17031842200
916,1400000US17031842200
918,1400000US17031080400
919,1400000US17031080300
920,1400000US17031080300
923,1400000US17031071500
924,1400000US17031071500
926,1400000US17031071500
927,1400000US17031071500
928,1400000US17031071700
929,1400000US17031071800
933,1400000US17031832600
934,1400000US17031832600
939,1400000US17031842300
941,1400000US17031240200
942,1400000US17031240200
943,1400000US17031240300
945,1400000US17031240500
946,1400000US17031240500
947,1400000US17031240500
949,1400000US17031240500
950,1400000US17031240600
951,1400000US17031240600
954,1400000US17031240800
957,1400000US17031230100
959,1400000US17031230200
961,1400000US17031230300
963,1400000US17031230400
964,1400000US17031230400
965,1400000US17031230400
967,1400000US17031230500
968,1400000US17031230500
971,1400000US17031230500
974,1400000US17031831300
975,1400000US17031831300
976,1400000US17031250200
977,1400000US17031250200
978,1400000US17031250200
981,1400000US17031250300
984,1400000US17031250400
985,1400000US17031250400
986,1400000US17031250400
987,1400000US17031250400
988,1400000US17031250400
989,1400000US17031250400
990,1400000US17031250400
992,1400000US17031250400
993,1400000US17031250500
996,1400000US17031250500
997,1400000US17031250500
998,1400000US17031250500
999,1400000US17031250500
1000,1400000US17031250500
1001,1400000US17031250500
1002,1400000US17031250500
1004,1400000US17031250500
1005,1400000US17031250500
1011,1400000US17031010300
1012,1400000US17031010300
1014,1400000US17031010300
1015,1400000US17031010300
1016,1400000US17031010300
1017,1400000US17031010501
1018,1400000US17031010501
1020,1400000US17031010501
1021,1400000US17031010501
1023,1400000US17031010502
1025,1400000US17031010502
1027,1400000US17031010503
1028,1400000US17031010503
1029,1400000US17031030104
1030,1400000US17031030104
1031,1400000US17031030104
1032,1400000US17031030103
1033,1400000US17031030102
1034,1400000US17031030101
1035,1400000US17031030601
1036,1400000US17031030601
1037,1400000US17031030604
1038,1400000US17031030706
1039,1400000US17031030706
1040,1400000US17031030703
1041,1400000US17031030706
1042,1400000US17031031200
1043,1400000US17031031200
1044,1400000US17031031200
1045,1400000US17031031200
1047,1400000US17031830700
1048,1400000US17031830700
1049,1400000US17031830700
1050,1400000US17031830700
1051,1400000US17031830700
1052,1400000US17031032100
1053,1400000US17031032100
1054,1400000US17031032100
1055,1400000US17031032100
1056,1400000US17031832100
1057,1400000US17031832100
1058,1400000US17031832100
1060,1400000US17031060800
1061,1400000US17031060900
1062,1400000US17031060900
1063,1400000US17031060900
1064,1400000US17031060900
1065,1400000US17031061902
1066,1400000US17031061901
1067,1400000US17031061902
1068,1400000US17031061902
1070,1400000US17031061902
1072,1400000US17031063200
1073,1400000US17031063200
1074,1400000US17031063302
1075,1400000US17031063302
1076,1400000US17031063302
1077,1400000US17031063302
1078,1400000US17031070101
1079,1400000US17031070101
1080,1400000US17031070101
1081,1400000US17031071400
1082,1400000US17031071400
1083,1400000US17031071400
1084,1400000US17031071400
1085,1400000US17031071500
1086,1400000US17031071500
1087,1400000US17031080100
1088,1400000US17031080100
1089,1400000US17031080100
1090,1400000US17031080100
1091,1400000US17031080100
1092,1400000US17031080100
1093,1400000US17031081202
1094,1400000US17031081202
1095,1400000US17031081202
1096,1400000US17031081201
1097,1400000US17031081201
1098,1400000US17031081201
1100,1400000US17031081500
1101,1400000US17031081500
1102,1400000US17031081500
1103,1400000US17031081500
1104,1400000US17031320102
1105,1400000US17031320102
1106,1400000US17031320102
1108,1400000US17031839100
1110,1400000US17031320400
1111,1400000US17031320400
1113,1400000US17031320400
1115,1400000US17031320400
1117,1400000US17031320400
1119,1400000US17031320102
1120,1400000US17031320102
1121,1400000US17031320102
1122,1400000US17031081403
1123,1400000US17031081403
1124,1400000US17031081403
1125,1400000US17031081401
1126,1400000US17031081401
1127,1400000US17031081300
1128,1400000US17031081300
1129,1400000US17031081202
1130,1400000US17031081202
1131,1400000US17031081202
1132,1400000US17031081202
1133,1400000US17031080100
1134,1400000US17031080100
1135,1400000US17031080100
1136,1400000US17031080100
1137,1400000US17031080100
1138,1400000US17031080100
1139,1400000US17031071500
1140,1400000US17031071500
1141,1400000US17031071400
1142,1400000US17031071400
1143,1400000US17031071400
1144,1400000US17031071400
1145,1400000US17031070101
1146,1400000US17031070101
1147,1400000US17031070101
1148,1400000US17031063302
1149,1400000US17031063302
1150,1400000US17031063302
1151,1400000US17031063200
1152,1400000US17031063200
1153,1400000US17031063200
1154,1400000US17031063200
1155,1400000US17031061902
1157,1400000US17031061902
1159,1400000US17031061902
1160,1400000US17031060900
1161,1400000US17031060900
1162,1400000US17031060900
1163,1400000US17031060900
1164,1400000US17031060800
1165,1400000US17031060800
1166,1400000US17031832100
1167,1400000US17031832100
1168,1400000US17031832100
1169,1400000US17031832100
1170,1400000US17031032100
1171,1400000US17031032100
1173,1400000US17031032100
1174,1400000US17031032100
1175,1400000US17031031502
1177,1400000US17031031502
1178,1400000US17031031501
1179,1400000US17031031300
1180,1400000US17031031300
1181,1400000US17031031300
1182,1400000US17031031300
1183,1400000US17031031300
1184,1400000US17031030706
1185,1400000US17031030706
1186,1400000US17031030702
1187,1400000US17031030702
1188,1400000US17031030706
1189,1400000US17031030604
1190,1400000US17031030604
1191,1400000US17031030101
1192,1400000US17031030102
1198,1400000US17031030103
1199,1400000US17031030104
1200,1400000US17031010400
1201,1400000US17031010400
1203,1400000US17031010400
1204,1400000US17031010400
1206,1400000US17031010400
1208,1400000US17031010400
1210,1400000US17031010400
1211,1400000US17031010400
1213,1400000US17031010400
1214,1400000US17031010300
1215,1400000US17031010300
1216,1400000US17031010300
1217,1400000US17031010300
1220,1400000US17031010100
1224,1400000US17031070300
1225,1400000US17031070300
1227,1400000US17031070400
1228,1400000US17031070500
1233,1400000US17031070700
1236,1400000US17031830900
1238,1400000US17031830900
1240,1400000US17031830900
1241,1400000US17031830900
1242,1400000US17031220300
1243,1400000US17031220300
1246,1400000US17031220500
1248,1400000US17031220601
1249,1400000US17031220601
1250,1400000US17031220601
1251,1400000US17031220601
1252,1400000US17031220601
1253,1400000US17031220701
1255,1400000US17031220701
1256,1400000US17031220701
1257,1400000US17031220702
1258,1400000US17031200200
1259,1400000US17031200200
1260,1400000US17031200200
1261,1400000US17031200200
1262,1400000US17031200200
1263,1400000US17031200200
1264,1400000US17031200200
1265,1400000US17031190900
1267,1400000US17031190800
1269,1400000US17031190800
1270,1400000US17031190800
